vote_id,assembly_no,topic_no,title,date,result
67234,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:29,Zamítnuto
67235,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:30,Zamítnuto
67236,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:30,Zamítnuto
67237,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:31,Zamítnuto
67238,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:32,Zamítnuto
67239,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:33,Zamítnuto
67240,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:35,Zamítnuto
67241,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:36,Zamítnuto
67242,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:37,Zamítnuto
67243,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 20:09,Přijato
67244,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 20:13,Přijato
67245,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 20:14,Přijato
67246,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 20:14,Zamítnuto
67247,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 20:15,Přijato
67248,4,5,Střednědobý výhled státního rozpočtu ČR na léta 2019 a 2020 (sněmovní tisk 3),19. 12. 2017 20:50,Přijato
67249,4,6,Rozpočet SFDI na rok 2018 (sněmovní tisk 8),19. 12. 2017 21:24,Přijato
67250,4,6,Rozpočet SFDI na rok 2018 (sněmovní tisk 8),19. 12. 2017 21:25,Zamítnuto
67251,4,7,Návrh rozpočtu SFRB na rok 2018 (sněmovní tisk 9),19. 12. 2017 21:31,Přijato
67252,4,8,Návrh rozpočtu SZIF na rok 2018 (sněmovní tisk 25),19. 12. 2017 21:39,Přijato
67253,4,9,Dotační programy zemědělství pro rok 2018 (sněmovní tisk 26),19. 12. 2017 21:49,Přijato
67254,4,0,Procedurální hlasování,19. 12. 2017 21:52,Přijato
67255,4,0,Procedurální hlasování,19. 12. 2017 21:54,Přijato
67256,5,0,Pořad schůze,10. 1. 2018 10:02,Přijato
67257,5,0,Pořad schůze,10. 1. 2018 10:36,Zamítnuto
67258,5,0,Pořad schůze,10. 1. 2018 10:37,Přijato
67259,5,1,Žádost vlády České republiky o vyslovení důvěry,10. 1. 2018 16:33,Zamítnuto
67260,5,1,Žádost vlády České republiky o vyslovení důvěry,10. 1. 2018 18:37,Zamítnuto
67261,5,1,Žádost vlády České republiky o vyslovení důvěry,10. 1. 2018 19:48,Přijato
67262,5,0,Procedurální hlasování,16. 1. 2018 14:05,Zamítnuto
67263,5,1,Žádost vlády České republiky o vyslovení důvěry,16. 1. 2018 15:28,Zamítnuto
67264,6,0,Procedurální hlasování,17. 1. 2018 9:03,Přijato
67265,6,0,Pořad schůze,17. 1. 2018 9:37,Přijato
67266,6,0,Pořad schůze,17. 1. 2018 9:38,Přijato
67267,6,0,Pořad schůze,17. 1. 2018 9:41,Zamítnuto
67268,6,0,Pořad schůze,17. 1. 2018 9:42,Přijato
67269,6,0,Pořad schůze,17. 1. 2018 9:43,Zamítnuto
67270,6,0,Pořad schůze,17. 1. 2018 9:44,Přijato
67271,6,0,Pořad schůze,17. 1. 2018 9:44,Přijato
67272,6,0,Pořad schůze,17. 1. 2018 9:45,Přijato
67273,6,0,Pořad schůze,17. 1. 2018 9:46,Zamítnuto
67274,6,0,Pořad schůze,17. 1. 2018 9:47,Přijato
67275,6,23,Návrh na zřízení SK pro kontrolu činnosti ÚZS,17. 1. 2018 9:50,Přijato
67276,6,31,Návrh na volbu členů Národní rozpočtové rady,17. 1. 2018 12:44,Přijato
