vote_id,party,total,yes,no,not_in,refrained,excused
67053,Piráti,22,22,0,0,0,0

67053,SPD,22,21,0,0,0,1

67053,ČSSD,15,12,0,1,0,2

67053,KSČM,15,14,0,0,0,1

67053,KDU-ČSL,10,9,0,0,0,1

67053,TOP09,7,4,0,0,1,2

67053,STAN,6,6,0,0,0,0

67054,ANO,78,69,0,2,6,1

67054,ODS,25,19,0,0,6,0

67054,Piráti,22,16,0,1,4,1

67054,SPD,22,21,0,0,0,1

67054,ČSSD,15,8,0,1,3,3

67054,KSČM,15,12,0,0,2,1

67054,KDU-ČSL,10,9,0,0,0,1

67054,TOP09,7,5,0,0,0,2

67054,STAN,6,5,0,0,1,0

67055,ANO,78,2,0,6,68,2

67055,ODS,25,0,0,2,23,0

67055,Piráti,22,16,0,1,4,1

67055,SPD,22,0,0,1,20,1

67055,ČSSD,15,8,0,3,0,4

67055,KSČM,15,0,0,2,12,1

67055,KDU-ČSL,10,3,0,0,6,1

67055,TOP09,7,4,0,0,1,2

67055,STAN,6,5,0,0,1,0

67056,ANO,78,2,0,5,69,2

67056,ODS,25,0,0,2,23,0

67056,Piráti,22,21,0,0,0,1

67056,SPD,22,0,0,0,21,1

67056,ČSSD,15,8,0,3,0,4

67056,KSČM,15,0,0,2,12,1

67056,KDU-ČSL,10,4,0,0,5,1

67056,TOP09,7,5,0,0,0,2

67056,STAN,6,5,0,0,1,0

67057,ANO,78,62,0,4,10,2

67057,ODS,25,0,0,2,23,0

67057,Piráti,22,0,1,0,20,1

67057,SPD,22,21,0,0,0,1

67057,ČSSD,15,0,0,3,8,4

67057,KSČM,15,10,0,2,2,1

67057,KDU-ČSL,10,0,0,0,9,1

67057,TOP09,7,0,2,0,3,2

67057,STAN,6,0,0,0,6,0

67058,ANO,78,66,0,2,8,2

67058,ODS,25,1,0,3,21,0

67058,Piráti,22,0,20,0,1,1

67058,SPD,22,21,0,0,0,1

67058,ČSSD,15,1,2,3,5,4

67058,KSČM,15,12,0,1,1,1

67058,KDU-ČSL,10,0,1,0,8,1

67058,TOP09,7,0,3,0,2,2

67058,STAN,6,0,3,0,3,0

67059,ANO,78,73,0,1,2,2

67059,ODS,25,16,0,3,6,0

67059,Piráti,22,20,0,0,1,1

67059,SPD,22,21,0,0,0,1

67059,ČSSD,15,9,0,1,1,4

67059,KSČM,15,14,0,0,0,1

67059,KDU-ČSL,10,9,0,0,0,1

67059,TOP09,7,1,1,0,3,2

67059,STAN,6,6,0,0,0,0

67060,ANO,78,74,0,1,2,1

67060,ODS,25,0,15,3,7,0

67060,Piráti,22,1,18,0,2,1

67060,SPD,22,21,0,0,0,1

67060,ČSSD,15,0,9,1,1,4

67060,KSČM,15,12,0,0,2,1

67060,KDU-ČSL,10,0,9,0,0,1

67060,TOP09,7,0,3,0,2,2

67060,STAN,6,0,6,0,0,0

67061,ANO,78,0,0,1,76,1

67061,ODS,25,1,0,3,21,0

67061,Piráti,22,0,0,0,21,1

67061,SPD,22,0,0,0,21,1

67061,ČSSD,15,0,0,1,10,4

67061,KSČM,15,0,0,0,14,1

67061,KDU-ČSL,10,0,0,0,9,1

67061,TOP09,7,0,0,0,5,2

67061,STAN,6,1,0,0,5,0

67062,ANO,78,2,64,3,7,2

67062,ODS,25,18,0,7,0,0

67062,Piráti,22,20,0,1,0,1

67062,SPD,22,0,21,0,0,1

67062,ČSSD,15,9,0,2,0,4

67062,KSČM,15,1,8,0,5,1

67062,KDU-ČSL,10,9,0,0,0,1

67062,TOP09,7,4,0,1,0,2

67062,STAN,6,5,0,0,1,0

67063,ANO,78,73,0,2,1,2

67063,ODS,25,0,16,7,2,0

67063,Piráti,22,0,16,1,4,1

67063,SPD,22,21,0,0,0,1

67063,ČSSD,15,0,3,2,6,4

67063,KSČM,15,14,0,0,0,1

67063,KDU-ČSL,10,0,8,0,1,1

67063,TOP09,7,0,4,1,0,2

67063,STAN,6,0,6,0,0,0

67064,ANO,78,3,68,3,3,1

67064,ODS,25,18,0,7,0,0

67064,Piráti,22,20,0,1,0,1

67064,SPD,22,0,21,0,0,1

67064,ČSSD,15,7,0,2,2,4

67064,KSČM,15,0,8,0,6,1

67064,KDU-ČSL,10,9,0,0,0,1

67064,TOP09,7,4,0,1,0,2

67064,STAN,6,6,0,0,0,0

67065,ANO,78,71,1,3,2,1

67065,ODS,25,1,16,7,1,0

67065,Piráti,22,0,18,1,2,1

67065,SPD,22,21,0,0,0,1

67065,ČSSD,15,0,2,2,7,4

67065,KSČM,15,14,0,0,0,1

67065,KDU-ČSL,10,0,9,0,0,1

67065,TOP09,7,0,4,1,0,2

67065,STAN,6,0,6,0,0,0

67066,ANO,78,4,69,3,1,1

67066,ODS,25,18,0,7,0,0

67066,Piráti,22,20,0,1,0,1

67066,SPD,22,1,20,0,0,1

67066,ČSSD,15,8,0,2,1,4

67066,KSČM,15,0,7,0,7,1

67066,KDU-ČSL,10,9,0,0,0,1

67066,TOP09,7,4,0,1,0,2

67066,STAN,6,6,0,0,0,0

67067,ANO,78,72,0,3,2,1

67067,ODS,25,0,15,7,3,0

67067,Piráti,22,0,18,1,2,1

67067,SPD,22,21,0,0,0,1

67067,ČSSD,15,0,2,2,7,4

67067,KSČM,15,13,0,0,1,1

67067,KDU-ČSL,10,0,9,0,0,1

67067,TOP09,7,0,4,1,0,2

67067,STAN,6,0,6,0,0,0

67068,ANO,78,2,69,3,3,1

67068,ODS,25,16,0,8,1,0

67068,Piráti,22,20,0,0,1,1

67068,SPD,22,0,21,0,0,1

67068,ČSSD,15,8,0,2,1,4

67068,KSČM,15,0,8,0,6,1

67068,KDU-ČSL,10,9,0,0,0,1

67068,TOP09,7,5,0,1,0,1

67068,STAN,6,5,0,0,1,0

67069,ANO,78,74,0,3,0,1

67069,ODS,25,0,16,8,1,0

67069,Piráti,22,0,19,0,2,1

67069,SPD,22,21,0,0,0,1

67069,ČSSD,15,0,3,2,6,4

67069,KSČM,15,14,0,0,0,1

67069,KDU-ČSL,10,0,8,0,1,1

67069,TOP09,7,0,4,1,1,1

67069,STAN,6,0,5,0,1,0

67070,ANO,78,1,73,3,0,1

67070,ODS,25,16,0,8,1,0

67070,Piráti,22,21,0,0,0,1

67070,SPD,22,0,21,0,0,1

67070,ČSSD,15,8,0,2,1,4

67070,KSČM,15,0,7,0,7,1

67070,KDU-ČSL,10,9,0,0,0,1

67070,TOP09,7,5,0,1,0,1

67070,STAN,6,5,0,0,1,0

67071,ANO,78,73,0,3,1,1

67071,ODS,25,0,15,8,2,0

67071,Piráti,22,0,19,0,2,1

67071,SPD,22,21,0,0,0,1

67071,ČSSD,15,0,3,2,6,4

67071,KSČM,15,14,0,0,0,1

67071,KDU-ČSL,10,0,9,0,0,1

67071,TOP09,7,0,5,1,0,1

67071,STAN,6,0,6,0,0,0

67072,ANO,78,1,63,4,9,1

67072,ODS,25,14,0,8,3,0

67072,Piráti,22,21,0,0,0,1

67072,SPD,22,0,20,0,1,1

67072,ČSSD,15,8,0,1,2,4

67072,KSČM,15,1,6,0,7,1

67072,KDU-ČSL,10,9,0,0,0,1

67072,TOP09,7,4,0,1,1,1

67072,STAN,6,5,0,0,1,0

67073,ANO,78,73,0,3,1,1

67073,ODS,25,0,13,8,4,0

67073,Piráti,22,0,19,0,2,1

67073,SPD,22,21,0,0,0,1

67073,ČSSD,15,0,4,1,6,4

67073,KSČM,15,11,0,0,3,1

67073,KDU-ČSL,10,0,9,0,0,1

67073,TOP09,7,0,5,1,0,1

67073,STAN,6,0,5,0,1,0

67074,ANO,78,1,64,5,7,1

67074,ODS,25,15,0,8,2,0

67074,Piráti,22,20,0,0,1,1

67074,SPD,22,0,21,0,0,1

67074,ČSSD,15,8,0,1,2,4

67074,KSČM,15,1,7,0,6,1

67074,KDU-ČSL,10,9,0,0,0,1

67074,TOP09,7,3,1,1,1,1

67074,STAN,6,4,0,0,2,0

67075,ANO,78,66,0,5,6,1

67075,ODS,25,0,13,8,4,0

67075,Piráti,22,0,20,0,1,1

67075,SPD,22,21,0,0,0,1

67075,ČSSD,15,0,4,1,6,4

67075,KSČM,15,11,0,0,3,1

67075,KDU-ČSL,10,0,8,0,1,1

67075,TOP09,7,1,3,1,1,1

67075,STAN,6,0,3,0,3,0

67076,ANO,78,1,70,3,3,1

67076,ODS,25,14,0,8,3,0

67076,Piráti,22,19,0,1,1,1

67076,SPD,22,0,20,1,0,1

67076,ČSSD,15,8,0,1,2,4

67076,KSČM,15,1,7,0,6,1

